Organism,Characteristics,Size,Biovolume,Cell_shape,Reference,Notes
Thiomargarita namibiensis,Spherical sulfur bact.,750,200000000,Spherical,"Schulz HN, Brinkhoff T, Ferdelman TG, Marine MH, Teske A, et al. 1999. Dense populations of a giant sulfur bacterium in Namibian shelf sediments. Science 284:493–95",Where only one number is given this is the diameter of spherical cells.
Epulopiscium fishelsoni,Heterotrophic gut bact.,80x600,3000000,,"Clements KD, Bullivant S. 1991. An unusual symbiont from the gut of surgeonfishes may be the largest known prokaryote. J. Bacteriol. 173:5359–62",
Beggiatoa spp.,Filamentous sulfur bact.,160x150,1000000,,"Nelson DC, Wirsen CO, Jannasch HW. 1989. Characterization of large, autotrophic Beggiatoa spp. abundant at hydrothermal vents of the Guaymas Basin. Appl. Environ. Microbiol. 55:2909–17",Multicellular filaments of one to several cm length; the height of a single disk-shaped cell is indicated.
Achromatium oxaliferum,Ellipsoid sulfur bact.,35x95,80000,Ellipsoid,"Head IM, Gray ND, Babenzien HD, Glockner FO. 2000. Uncultured giant sulfur bacteria of the genus Achromatium. FEMS Microbiol. Ecol. 33:171–80",
Thioploca araucae,Filamentous sulfur bact.,43x30,40000,Disc-shaped,"Schulz HN, Strotmann B, Gallardo VA, Jørgensen BB. 2000. Population study of the filamentous sulfur bacteria Thioploca spp. off the Bay of Concepcion, Chile. Mar. Ecol. Prog. Ser. 200:117–26",
Lyngbya majuscula,Filamentous cyanobact.,80x8,40000,Disc-shaped,"DemoulinV, JanssenMP. 1981. Relationship between diameter of the filament and cell shape in blue-green algae. Br. Phycol. J. 16:55–58",
Prochloron sp.,Phototrophic bact.,30,14000,Spherical,Cox G. 1986. Comparison of Prochloron from different hosts. I. Structural and ultrastructural characteristics. New Phytol. 104:429–45,
Macromonas mobilis,Rod-shaped sulfur bact.,14x30,3500,Rod-shaped,"Starr MP, Schmidt JM. 1981. Prokaryote diversity. In The Prokaryotes, ed. MP Starr, H Stolp, HG Tr¨uper, A Balows, HG Schlegel, pp. 3–42. Berlin: Springer",
Thiovulum majus,Spherical sulfur bact.,18,3000,Spherical,"Wirsen CO, Jannasch HW. 1978. Physiological and morphological observations on Thiovulum sp. J. Bacteriol. 136:765–74",
Staphylothermus marinus,Archaea,15,1800,Spherical,"Fiala G, StetterKO, JannaschHW, Langworthy TA, Madon J. 1986. Staphylothermus marinus sp. nov. represents a novel genus of extremely thermophilic submarine heterotrophic archaebacteria growing up to 98±C. Syst. Appl. Microbiol. 8:106–13",
Titanospirillum velox,Rod-shaped sulfur bact.,5x30,600,Rod-shaped,"Guerrero R, Haselton A, Sole M, Wier A, Margulis L. 1999. Titanospirillum velox: a huge, speedy, sulfur-storing spirillum from Ebro Delta microbial mats. Proc. Natl. Acad. Sci. USA 96:11584–88",
Magnetobacterium bavaricum,Magnetotactic bact.,2x10,30,,"Spring S, AmannR, LudwigW, Schleifer K-H, van Gemerden H, Petersen N. 1993. Dominating role of an unusual magnetotactic bacterium in the microaerobic zone of a freshwater sediment. Appl. Environ. Microbiol. 59:2397–403",
Escherichia coli,Heterotrophic bact.,1x2,2,,"Ørskov F. 1984. Genus I. Escherichia Castellani and Chalmers 1919, 941AL. In Bergey’s Manual of Systematic Bacteriology, ed. NR Krieg, JG Holt, 1:430–33. Baltimore: Williams & Wilkins",
Mycoplasma pneumoniae,Pathogenic bact.,0.2,0.005,Spherical,"Himmelreich R, Hilbert H, Plagens H, Pirkl E, Li BC, Herrmann R. 1996. Complete sequence analysis of the genome of the bacterium Mycoplasma pneumoniae. Nucleic Acids Res. 24:4420–49",
Thermodiscus sp.,Archaea,0.2x0.08,0.003,,"StetterKO. 1999. Smallest cell size within hyperthermophilic Archaea (“Archaebacteria”). In Size Limits of Very Small Microorganisms:Proceedings of a Workshop, ed. NRC Steering Group Astrobiol. Space Stud. Board, pp. 68–73. Washington, DC: Natl. Acad.",
