"tax_id","org_name","cell_shape","d1_lo","d2_lo","reference","ref_type"
90373,"Thiomargarita namibiensis","Spherical",750,NA,"Schulz HN, Brinkhoff T, Ferdelman TG, Marine MH, Teske A, et al. 1999. Dense populations of a giant sulfur bacterium in Namibian shelf sediments. Science 284:493–95","full_text"
77094,"Epulopiscium fishelsoni",NA,80,600,"Clements KD, Bullivant S. 1991. An unusual symbiont from the gut of surgeonfishes may be the largest known prokaryote. J. Bacteriol. 173:5359–62","full_text"
44938,"Achromatium oxaliferum","Ellipsoid",35,95,"Head IM, Gray ND, Babenzien HD, Glockner FO. 2000. Uncultured giant sulfur bacteria of the genus Achromatium. FEMS Microbiol. Ecol. 33:171–80","full_text"
40752,"Thioploca araucae","Disc-shaped",30,43,"Schulz HN, Strotmann B, Gallardo VA, Jørgensen BB. 2000. Population study of the filamentous sulfur bacteria Thioploca spp. off the Bay of Concepcion, Chile. Mar. Ecol. Prog. Ser. 200:117–26","full_text"
158786,"Lyngbya majuscula","Disc-shaped",8,80,"DemoulinV, JanssenMP. 1981. Relationship between diameter of the filament and cell shape in blue-green algae. Br. Phycol. J. 16:55–58","full_text"
1215,"Prochloron sp.","Spherical",30,NA,"Cox G. 1986. Comparison of Prochloron from different hosts. I. Structural and ultrastructural characteristics. New Phytol. 104:429–45","full_text"
1653847,"Macromonas mobilis","Rod-shaped",14,30,"Starr MP, Schmidt JM. 1981. Prokaryote diversity. In The Prokaryotes, ed. MP Starr, H Stolp, HG Tr¨uper, A Balows, HG Schlegel, pp. 3–42. Berlin: Springer","full_text"
439519,"Thiovulum majus","Spherical",18,NA,"Wirsen CO, Jannasch HW. 1978. Physiological and morphological observations on Thiovulum sp. J. Bacteriol. 136:765–74","full_text"
2280,"Staphylothermus marinus","Spherical",15,NA,"Fiala G, StetterKO, JannaschHW, Langworthy TA, Madon J. 1986. Staphylothermus marinus sp. nov. represents a novel genus of extremely thermophilic submarine heterotrophic archaebacteria growing up to 98±C. Syst. Appl. Microbiol. 8:106–13","full_text"
29290,"Magnetobacterium bavaricum",NA,2,10,"Spring S, AmannR, LudwigW, Schleifer K-H, van Gemerden H, Petersen N. 1993. Dominating role of an unusual magnetotactic bacterium in the microaerobic zone of a freshwater sediment. Appl. Environ. Microbiol. 59:2397–403","full_text"
562,"Escherichia coli",NA,1,2,"Ørskov F. 1984. Genus I. Escherichia Castellani and Chalmers 1919, 941AL. In Bergey’s Manual of Systematic Bacteriology, ed. NR Krieg, JG Holt, 1:430–33. Baltimore: Williams & Wilkins","full_text"
2104,"Mycoplasma pneumoniae","Spherical",0.2,NA,"Himmelreich R, Hilbert H, Plagens H, Pirkl E, Li BC, Herrmann R. 1996. Complete sequence analysis of the genome of the bacterium Mycoplasma pneumoniae. Nucleic Acids Res. 24:4420–49","full_text"
