"accession","ncbi_nucid","ncbi_taxid","name","ncbi_spid","ncbi_species"
"AF001466","2959597","59919","Prochlorococcus marinus subsp. pastoris str. CCMP1986","1219","Prochlorococcus marinus"
"AF115268","4959407","93057","Prochlorococcus marinus str. MIT 9201","1219","Prochlorococcus marinus"
"AF115269","4959408","93058","Prochlorococcus marinus str. MIT 9202","1219","Prochlorococcus marinus"
"AF115271","4959410","93060","Prochlorococcus marinus str. MIT 9215","1219","Prochlorococcus marinus"
"AF053396","2995856","74545","Prochlorococcus marinus str. MIT 9302","1219","Prochlorococcus marinus"
"AF053398","2995858","74546","Prochlorococcus marinus str. MIT 9312","1219","Prochlorococcus marinus"
"AF001467","2959598","59920","Prochlorococcus marinus str. NATL2A","1219","Prochlorococcus marinus"
"AF133834","7381079","115820","Prochlorococcus marinus subsp. pastoris str. NATL1","1219","Prochlorococcus marinus"
"AF397701","18463018","167539","Prochlorococcus marinus subsp. marinus str. CCMP1375","1219","Prochlorococcus marinus"
"AF115270","4959409","93059","Prochlorococcus marinus str. MIT 9211","1219","Prochlorococcus marinus"
"AF053397","2995857","59922","Prochlorococcus marinus str. MIT 9303","1219","Prochlorococcus marinus"
"AF053399","2995859","74547","Prochlorococcus marinus str. MIT 9313","1219","Prochlorococcus marinus"
"AF311291","16588424","32051","Synechococcus sp. WH 7803","32051","Synechococcus sp. WH 7803"
"none",NA,NA,NA,NA,NA
"none",NA,NA,NA,NA,NA
"AF539812","23321244","166313","Synechococcus sp. WH 8012","166313","Synechococcus sp. WH 8012"
"AF397712","18463029","84588","Synechococcus sp. WH 8102","84588","Synechococcus sp. WH 8102"
"AY224195","28825230","1148","Synechocystis sp. PCC 6803","1148","Synechocystis sp. PCC 6803"
"AF132930","5771435","1140","Synechococcus elongatus PCC 7942","32046","Synechococcus elongatus"
"AJ000716","3242319","32049","Synechococcus sp. PCC 7002","32049","Synechococcus sp. PCC 7002"
"CP006471","745801075","1350461","Synechococcus sp. UTEX 2973","1350461","Synechococcus sp. UTEX 2973"
"NR_074309","444303887","269084","Synechococcus elongatus PCC 6301","32046","Synechococcus elongatus"
"AY946244","62955971","326332","Synechococcus sp. CCMP839","326332","Synechococcus sp. CCMP839"
"AF397706","18463023","166310","Synechococcus sp. WH 6501","166310","Synechococcus sp. WH 6501"
